id,title,room,likes,dislikes
3908,Basin with Apollo and the Muses,G332,1,1
14011,Window with heraldic cartouche,G325,0,2
4763,"Emerging Fire, Red Rock Variation: Lake Superior Landscape",G353,6,1
10361,The Carpet Merchant,G357,19,3
1429,London: St. Paul's Cathedral seen from the Thames,G371,17,1
83269,Portrait of Robert Koehler,G302,4,1
95926,Del colore della materia,Not on View,12,4
47,Marriage,G302,5,0
121770,John Brown Reading His Bible,G360,18,0
45,Isles of Shoals,G323,8,2
109138,Pegasus,Not on View,10,2
2035,Abduction of Polyxena,G357,22,1
89597,#43,Not on View,6,2
119495,Octo 4240 lamp,G378,5,0
2507,"Sparrow hawk, one of a pair",G314,18,2
689,Reminiscences of 1865,G322,5,4
6228,The Lost Pleiad,G332,29,0
1565,Diana with a Bow,G322,7,2
774,Portrait of Mlle. Hortense Valpinçon,G351,7,4
613,The Ship of Virtues,Not on View,33,4
1274,Golden Bird,G377,38,1
1277,Portrait of the Artist,G367,13,4
1355,Study for Portrait VI,G376,17,1
1887,Madeleine I,Not on View,15,1
3057,Commode,G310,68,4
121684,Torso,Not on View,13,0
116294,Curator's Office,G378,22,2
4398,View of the Colosseum from the Orti Farnesiani,G306,19,2
263,After the Reception,G302,2,3
1978,Convulsionists of Tangier,G321,25,4
123223,Crucifixion,G340,48,2
82237,Lady's writing desk,G334,2,3
3220,Horse and Rider,Not on View,0,2
5683,The Twins,G302,4,2
6239,"View of Mont Blanc, Seen from La Faucille",G321,12,1
1689,The Smoker,G355,20,3
802,Chestnut Trees at Jas de Bouffan,G355,25,0
44,The White Bridge,G323,19,0
